c1cc[nH+]c(c12)NC([O-])=CC(=N2)c3ccccc3
COc1ccc(cc1OC)C[N@H+](CCC[NH3+])CC[C@@]2(c3ccccc3)C[C@@H](C)[N@H+](C)C[C@@H]2C
n1ccccc1CCC(=O)N(CCC[NH+](C)C)C[C@H]2CC[N@@H+](CC2)C(C3)Cc(c34)cccc4
OCC(C1)CN1C(=O)Nc2cccc(c2)CCCc3ccccc3
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccc(Cl)cc2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccc(Cl)cc2
COc1ccc(cc1)CC[N@@H+]2CCC[C@@H](C2)C[N@H+](C)Cc3cccc(c3)-n4cccn4
COc1ccc(cc1)CC[N@@H+]2CCC[C@@H](C2)C[N@H+](C)Cc3cccc(c3)-n4cccn4
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccc(F)cc2
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccc(F)cc2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2cccc(Cl)c2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2c(Cl)cccc2Cl
C[C@H](O)C[C@@H](C)CNC(=O)c1ccccc1OCc2ccc(F)cc2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccccc2
c1c(O)c(OC)cc(c12)[C@H]([NH2+]CC2)C[C@@H]([C@@H](C3)CC)C[C@H]([N@H+]34)c5c(CC4)cc(OC)c(c5)OC
C[NH+](C)CCC[NH2+]Cc1ccc(c(Br)c1)OCc2ccccc2
C[NH+](C)CCC[NH2+]Cc1ccc(c(Br)c1)OCc2ccccc2
c1ccccc1NC(=O)NC[C@@H](C[C@H]23)[N@@H+](CC2)C[C@@H]3C[N@@H+]4CC[C@H](CC4)Cc5ccccc5
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2c(F)cccc2Cl
C[NH2+]CCC[NH2+]Cc(cc1OCC)ccc1OCc2c(F)cccc2Cl
c1ccccc1[C@@H](C)CC(=O)Nc2cc[nH+]cc2[O-]
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2c(F)cccc2Cl
CCCc(cc(=O)o1)c(c12)cc(Cl)c([O-])c2C[N@@H+](C)C[C@H](CCC3)[C@H]([N@@H+]34)CCCC4
CCCc(cc(=O)o1)c(c12)cc(Cl)c([O-])c2C[N@@H+](C)C[C@H](CCC3)[C@H]([N@@H+]34)CCCC4
CCCc(cc(=O)o1)c(c12)cc(Cl)c([O-])c2C[N@@H+](C)C[C@H](CCC3)[C@H]([N@@H+]34)CCCC4
C[NH2+]CCC[NH2+]Cc1ccc(c(Br)c1)OCc2ccc(Cl)cc2
C1C[NH2+]CCC1C[NH2+]Cc(cc2OC)ccc2OCc3ccccc3Cl
C[NH+](C)CCC[NH2+]Cc(cc1OC)ccc1OCc2ccc(F)cc2
CCNC(=O)[C@H]1CCN(C1)C(=O)c2cccc(c2)OCCc3ccccc3
COCc1ccc(o1)C(=O)N(CC[NH+](C)C)C[C@H]2CCC[N@H+](C2)Cc3ccccc3F
COCc1ccc(o1)C(=O)N(CC[NH+](C)C)C[C@H]2CCC[N@H+](C2)Cc3ccccc3F
c1cccc(c12)nc(CC[NH3+])nc2NC[C@@H]([NH+]3CCCC3)c4ccc(F)cc4
C[NH2+]CCC[NH2+]Cc1ccc(c(Br)c1)OCc2ccc(Cl)cc2
C[NH2+]CCC[NH2+]Cc1ccc(c(c1)OC)OCc2ccccc2C
C[NH+](C)CCC[NH2+]Cc1ccc(c(Br)c1)OCc2ccccc2
c1ccccc1\C=C\CCC(=O)NCc2ccccc2C[N@@H+]3CC[C@@H](O)CC3
COc(c1)c(OC)cc(c12)[C@@H]([NH2+]CC2)CCCC[C@@H]([NH2+]CC3)c(c34)cc(OC)c(c4)OC
C[NH2+]CCC[NH2+]Cc(cc1OCC)ccc1OCc2c(F)cccc2Cl
c1ccccc1COc2ccc(cc2OC)C[N@@H+]3CC[C@H](CC3)C(=O)NCCC[NH+](C)C
